order_id,year,month,quarter,is_weekend_order,platform,country,customer_segment,customer_age_group,customer_gender,acquisition_channel,device_used,product_category,unit_price_usd,quantity_ordered,order_value_usd,discount_pct,discount_amount_usd,final_amount_usd,shipping_cost_usd,tax_amount_usd,total_paid_usd,payment_method,shipping_method,delivery_days,product_rating,review_submitted,returned,return_reason,customer_satisfaction,session_duration_minutes,pages_viewed,cart_abandoned_before,wishlist_used,coupon_used,subscription_member,repeat_purchase_count,loyalty_points
ORD0000011,2024,1,Q1,No,Shopify Store,UAE,Loyal Customer,25-34,Female,Social Media,Mobile,Fashion & Apparel,205.95,1,205.95,25,51.49,154.46,8.99,23.86,187.31,Credit Card,Express,3,5,Yes,No,None,Very Satisfied,12.5,4,No,No,Yes,No,6,150
ORD0000012,2022,4,Q2,Yes,Shopify Store,Indonesia,VIP Customer,35-44,Female,Influencer,Desktop,Food & Grocery,60.97,2,121.94,10,12.19,109.75,0,15.77,125.52,Bank Transfer,Free Shipping,7,3,No,No,None,Neutral,9.2,8,No,No,No,Yes,19,190
ORD0000013,2021,10,Q4,Yes,eBay,Germany,Inactive Customer,25-34,Female,Influencer,Mobile,Jewelry & Accessories,314.57,1,314.57,15,47.19,267.38,0,22.93,290.31,Debit Card,Free Shipping,5,3,Yes,No,None,Very Satisfied,28.2,5,No,Yes,Yes,Yes,0,0
ORD0000014,2022,3,Q1,Yes,AliExpress,UAE,VIP Customer,35-44,Female,Social Media,Mobile,Electronics,2000,4,8000,10,800,7200,2.12,939.38,8141.5,Mobile Wallet,Standard,5,4,No,No,None,Satisfied,22.4,4,No,No,Yes,No,46,1242
ORD0000015,2021,11,Q4,No,Amazon,Indonesia,Loyal Customer,18-24,Female,Social Media,Mobile,Fashion & Apparel,130.38,1,130.38,0,0,130.38,8.94,14.1,153.42,Credit Card,Standard,5,2,Yes,Yes,Wrong Item,Very Satisfied,21.2,10,Yes,Yes,No,No,8,184
ORD0000016,2024,8,Q3,Yes,Amazon,Australia,Inactive Customer,35-44,Female,Paid Ads,Desktop,Fashion & Apparel,300,1,300,10,30,270,15.44,19.22,304.66,Cash on Delivery,Express,3,4,No,No,None,Very Satisfied,17.8,7,No,Yes,No,No,2,86
ORD0000017,2024,1,Q1,Yes,eBay,USA,Inactive Customer,35-44,Male,Paid Ads,Mobile,Sports & Fitness,98.18,2,196.36,0,0,196.36,1.14,26.86,224.36,Cash on Delivery,Click & Collect,2,5,Yes,No,None,Neutral,28.5,3,Yes,No,No,Yes,1,14
ORD0000018,2023,11,Q4,No,Daraz,USA,Returning Customer,35-44,Female,Social Media,Tablet,Automotive,181.75,1,181.75,25,45.44,136.31,0,7.19,143.5,Debit Card,Free Shipping,7,3,Yes,No,None,Very Satisfied,16.5,6,No,Yes,No,Yes,1,33
ORD0000019,2022,3,Q1,No,eBay,UAE,Returning Customer,25-34,Female,Social Media,Tablet,Automotive,543.73,1,543.73,5,27.19,516.54,0,71.83,588.37,Credit Card,Free Shipping,7,3,No,Yes,Size Issue,Satisfied,109.3,6,No,Yes,No,Yes,4,60
ORD0000020,2023,1,Q1,Yes,eBay,Pakistan,New Customer,45-54,Female,Social Media,Mobile,Beauty & Personal Care,97.24,2,194.48,40,77.79,116.69,7.65,19.07,143.41,Credit Card,Standard,7,5,Yes,No,None,Neutral,32.3,4,Yes,No,Yes,No,0,0
ORD0000021,2024,6,Q2,Yes,Flipkart,Canada,Loyal Customer,25-34,Male,Referral,Mobile,Beauty & Personal Care,74.96,1,74.96,0,0,74.96,9,14.25,98.21,Cryptocurrency,Standard,9,4,No,No,None,Neutral,45.4,7,No,No,Yes,No,14,448
ORD0000022,2022,9,Q3,No,eBay,Saudi Arabia,New Customer,25-34,Male,Direct,Mobile,Fashion & Apparel,254.07,1,254.07,15,38.11,215.96,2.19,30.43,248.58,Credit Card,Standard,6,4,No,No,None,Very Satisfied,8.1,5,No,No,Yes,No,0,0
ORD0000023,2023,3,Q1,Yes,Amazon,UK,Loyal Customer,35-44,Male,Social Media,Mobile,Electronics,1087.59,1,1087.59,0,0,1087.59,0,115.97,1203.56,Cash on Delivery,Free Shipping,5,4,No,No,None,Satisfied,78.5,6,Yes,Yes,No,No,6,264
ORD0000024,2021,7,Q3,No,Amazon,Egypt,Returning Customer,45-54,Male,Social Media,Desktop,Home & Kitchen,203.5,4,814,15,122.1,691.9,0,53.52,745.42,Cash on Delivery,Free Shipping,5,4,No,No,None,Neutral,51.6,3,Yes,No,Yes,Yes,1,38
ORD0000025,2022,2,Q1,No,Noon,France,New Customer,25-34,Male,Email Campaign,Mobile,Food & Grocery,55.3,1,55.3,10,5.53,49.77,0,6.63,56.4,Credit Card,Free Shipping,6,1,No,Yes,Wrong Item,Neutral,34.5,9,No,No,No,Yes,0,0
ORD0000026,2021,6,Q2,Yes,Flipkart,Germany,Returning Customer,25-34,Female,Paid Ads,Desktop,Beauty & Personal Care,48.84,1,48.84,15,7.33,41.51,0,3.95,45.46,Debit Card,Free Shipping,7,5,Yes,No,None,Satisfied,76.6,4,Yes,No,No,Yes,2,62
ORD0000027,2024,3,Q1,Yes,Jumia,Saudi Arabia,Inactive Customer,18-24,Male,Organic Search,Desktop,Food & Grocery,18.95,1,18.95,30,5.68,13.27,0,1.42,14.69,Bank Transfer,Free Shipping,5,3,No,No,None,Neutral,4.5,5,Yes,No,No,No,2,72
ORD0000028,2021,9,Q3,No,eBay,India,Returning Customer,35-44,Male,Email Campaign,Mobile,Automotive,305.3,2,610.6,20,122.12,488.48,10.68,59.13,558.29,Cash on Delivery,Express,3,5,Yes,No,None,Neutral,14.1,7,No,No,No,No,4,176
ORD0000029,2023,1,Q1,Yes,Amazon,Pakistan,Inactive Customer,25-34,Female,Social Media,Mobile,Books & Education,22.1,2,44.2,0,0,44.2,0,6.5,50.7,Credit Card,Free Shipping,6,5,No,No,None,Very Satisfied,20.1,6,No,Yes,No,No,1,26
ORD0000030,2024,10,Q4,No,Amazon,Indonesia,New Customer,25-34,Female,Referral,Mobile,Fashion & Apparel,102.19,1,102.19,10,10.22,91.97,15.67,13.35,120.99,Debit Card,Express,3,5,No,No,None,Neutral,51.3,7,No,No,No,Yes,0,0
ORD0000031,2024,12,Q4,No,Shopify Store,USA,New Customer,25-34,Male,Influencer,Mobile,Food & Grocery,43.33,1,43.33,25,10.83,32.5,0,3.5,36,Cash on Delivery,Free Shipping,3,3,No,No,None,Satisfied,24.7,4,No,Yes,No,No,0,0
ORD0000032,2024,6,Q2,Yes,Amazon,India,Inactive Customer,25-34,Male,Referral,Mobile,Health & Wellness,38.98,1,38.98,20,7.8,31.18,0,3.39,34.57,Debit Card,Free Shipping,3,5,Yes,No,None,Very Satisfied,16.1,4,Yes,No,Yes,Yes,1,48
ORD0000033,2023,1,Q1,Yes,Daraz,Nigeria,Loyal Customer,55-64,Female,Paid Ads,Mobile,Food & Grocery,64.76,1,64.76,0,0,64.76,21.65,7.05,93.46,Cash on Delivery,Express,2,4,Yes,No,None,Satisfied,46.1,2,No,Yes,Yes,Yes,5,55
ORD0000034,2022,9,Q3,No,AliExpress,Bangladesh,Loyal Customer,65+,Male,Social Media,Mobile,Health & Wellness,250,4,1000,20,200,800,8.15,90.32,898.47,Debit Card,Standard,4,4,Yes,No,None,Very Satisfied,27.2,5,No,No,No,No,7,315
ORD0000035,2022,5,Q2,No,Shopify Store,India,Loyal Customer,25-34,Female,Paid Ads,Mobile,Electronics,774.14,2,1548.28,0,0,1548.28,0,133.73,1682.01,Debit Card,Free Shipping,6,5,Yes,No,None,Neutral,77.2,9,Yes,Yes,Yes,No,14,294
ORD0000036,2021,3,Q1,No,Shopify Store,USA,New Customer,18-24,Male,Organic Search,Mobile,Electronics,1416.92,3,4250.76,10,425.08,3825.68,2.78,226.57,4055.03,Debit Card,Standard,9,2,Yes,No,None,Very Satisfied,18.9,6,No,No,No,No,0,0
ORD0000037,2023,6,Q2,Yes,Daraz,India,New Customer,18-24,Male,Organic Search,Desktop,Fashion & Apparel,192.18,5,960.9,25,240.22,720.68,4.87,123.96,849.51,Debit Card,Standard,7,4,Yes,No,None,Neutral,15.8,10,No,No,Yes,Yes,0,0
ORD0000038,2021,7,Q3,Yes,Shopify Store,USA,Loyal Customer,18-24,Male,Organic Search,Tablet,Home & Kitchen,456.26,1,456.26,20,91.25,365.01,34.44,59.93,459.38,Cash on Delivery,Same Day,1,4,No,No,None,Neutral,22.8,5,No,No,No,No,6,246
ORD0000039,2022,4,Q2,Yes,Amazon,Pakistan,Returning Customer,25-34,Female,Organic Search,Tablet,Mobile & Tablets,584.3,2,1168.6,5,58.43,1110.17,4.89,90.45,1205.51,Mobile Wallet,Click & Collect,2,3,No,No,None,Very Satisfied,30.1,11,No,No,No,Yes,2,40
ORD0000040,2024,4,Q2,No,WooCommerce,Germany,New Customer,25-34,Female,Organic Search,Desktop,Electronics,1200.89,1,1200.89,0,0,1200.89,3.83,206.78,1411.5,Cash on Delivery,Click & Collect,1,4,Yes,No,None,Satisfied,107.2,5,No,No,No,No,0,0
ORD0000041,2022,10,Q4,No,Flipkart,USA,VIP Customer,35-44,Female,Email Campaign,Mobile,Electronics,653.34,1,653.34,30,196,457.34,0,59.94,517.28,Debit Card,Free Shipping,5,3,Yes,No,None,Very Satisfied,11.9,7,No,No,No,No,21,798
ORD0000042,2022,3,Q1,No,Amazon,UK,Returning Customer,18-24,Female,Referral,Mobile,Home & Kitchen,217,2,434,0,0,434,4.27,67.63,505.9,Debit Card,Click & Collect,2,4,Yes,No,None,Satisfied,8.9,6,No,No,Yes,No,4,168
ORD0000043,2023,4,Q2,No,Flipkart,India,New Customer,25-34,Female,Referral,Mobile,Sports & Fitness,177.73,2,355.46,10,35.55,319.91,0,39.07,358.98,PayPal,Free Shipping,3,5,No,No,None,Very Satisfied,6.8,5,No,Yes,No,No,0,0
ORD0000044,2021,1,Q1,Yes,Jumia,Pakistan,Loyal Customer,25-34,Female,Referral,Tablet,Fashion & Apparel,108.7,2,217.4,25,54.35,163.05,0,30.64,193.69,Debit Card,Free Shipping,5,2,No,Yes,Not as Described,Satisfied,37.4,6,No,Yes,Yes,No,14,224
ORD0000045,2023,8,Q3,No,Shopify Store,Pakistan,Returning Customer,45-54,Female,Referral,Desktop,Electronics,1273.54,1,1273.54,20,254.71,1018.83,0,140.98,1159.81,Buy Now Pay Later,Free Shipping,4,4,No,No,None,Satisfied,35.8,5,No,No,No,No,3,63
ORD0000046,2024,9,Q3,No,Amazon,Nigeria,VIP Customer,45-54,Male,Direct,Desktop,Jewelry & Accessories,604.28,1,604.28,40,241.71,362.57,3.66,43.31,409.54,Debit Card,Click & Collect,1,4,Yes,No,None,Very Satisfied,16.7,4,No,Yes,No,Yes,41,492
ORD0000047,2024,12,Q4,No,Flipkart,Bangladesh,Inactive Customer,18-24,Female,Social Media,Mobile,Mobile & Tablets,1019.94,1,1019.94,10,101.99,917.95,7.17,60.71,985.83,Cash on Delivery,Standard,6,4,Yes,No,None,Satisfied,4.4,5,No,Yes,Yes,Yes,2,64
ORD0000048,2022,6,Q2,Yes,Amazon,Germany,New Customer,18-24,Male,Social Media,Mobile,Mobile & Tablets,499.61,2,999.22,0,0,999.22,0,98.01,1097.23,Debit Card,Free Shipping,6,5,Yes,No,None,Very Satisfied,8.6,6,Yes,No,No,Yes,0,0
ORD0000049,2022,11,Q4,Yes,Jumia,India,Returning Customer,18-24,Male,Organic Search,Mobile,Home & Kitchen,412.93,1,412.93,25,103.23,309.7,19.92,35,364.62,Credit Card,Express,2,4,No,No,None,Neutral,20.9,3,Yes,Yes,No,No,3,132
ORD0000050,2021,8,Q3,No,Daraz,India,Loyal Customer,55-64,Female,Paid Ads,Desktop,Toys & Games,160.2,1,160.2,0,0,160.2,0,17.54,177.74,Bank Transfer,Free Shipping,4,2,No,Yes,Changed Mind,Satisfied,10.8,7,No,No,Yes,Yes,11,517
ORD0000051,2023,7,Q3,No,Amazon,India,Loyal Customer,35-44,Female,Paid Ads,Mobile,Electronics,1691.41,4,6765.64,10,676.56,6089.08,0,609.09,6698.17,Cash on Delivery,Free Shipping,4,3,Yes,Yes,Changed Mind,Satisfied,15.4,6,No,Yes,No,Yes,13,598
ORD0000052,2021,7,Q3,No,Etsy,USA,New Customer,25-34,Female,Organic Search,Desktop,Sports & Fitness,316.64,1,316.64,30,94.99,221.65,8.8,12.92,243.37,PayPal,Standard,6,5,No,No,None,Very Satisfied,48.2,7,Yes,No,Yes,No,0,0
ORD0000053,2024,1,Q1,Yes,Amazon,Pakistan,VIP Customer,25-34,Male,Social Media,Mobile,Jewelry & Accessories,1000,1,1000,10,100,900,2.81,114.03,1016.84,Cash on Delivery,Standard,4,4,No,No,None,Satisfied,41.3,4,Yes,Yes,Yes,No,44,1408
ORD0000054,2023,5,Q2,No,Amazon,USA,Returning Customer,35-44,Male,Referral,Mobile,Electronics,760.94,2,1521.88,0,0,1521.88,3.74,267.84,1793.46,Cash on Delivery,Standard,6,3,No,No,None,Very Satisfied,28.6,4,No,Yes,No,Yes,1,26
ORD0000055,2021,7,Q3,No,Noon,India,New Customer,35-44,Female,Email Campaign,Mobile,Toys & Games,200,1,200,0,0,200,21.99,23.92,245.91,Debit Card,Express,2,5,No,No,None,Neutral,38.6,2,No,No,Yes,No,0,0
ORD0000056,2022,5,Q2,No,Daraz,India,Returning Customer,45-54,Female,Organic Search,Desktop,Mobile & Tablets,862.8,3,2588.4,0,0,2588.4,0,299.91,2888.31,PayPal,Free Shipping,3,2,No,No,None,Satisfied,5,7,Yes,Yes,No,Yes,1,46
ORD0000057,2023,7,Q3,No,Daraz,Australia,Loyal Customer,45-54,Male,Organic Search,Mobile,Mobile & Tablets,1013.6,4,4054.4,30,1216.32,2838.08,0,270.22,3108.3,Bank Transfer,Free Shipping,3,2,No,No,None,Satisfied,13,11,Yes,No,No,Yes,10,370
ORD0000058,2022,8,Q3,No,Daraz,UAE,New Customer,45-54,Female,Social Media,Tablet,Sports & Fitness,131.94,3,395.82,40,158.33,237.49,4.66,39.98,282.13,Mobile Wallet,Click & Collect,2,4,No,No,None,Satisfied,12.9,3,Yes,No,No,No,0,0
ORD0000059,2023,11,Q4,No,WooCommerce,UAE,Loyal Customer,35-44,Male,Paid Ads,Mobile,Mobile & Tablets,1500,1,1500,0,0,1500,3.4,112.19,1615.59,Bank Transfer,Standard,5,5,Yes,No,None,Satisfied,19.2,4,No,Yes,No,No,5,50
ORD0000060,2021,10,Q4,No,Amazon,USA,Loyal Customer,45-54,Male,Paid Ads,Mobile,Home & Kitchen,203.22,1,203.22,5,10.16,193.06,0,37.66,230.72,Credit Card,Free Shipping,3,3,Yes,No,None,Very Satisfied,22.2,4,No,No,No,No,13,559
ORD0000061,2024,5,Q2,No,Shopify Store,Germany,VIP Customer,25-34,Male,Organic Search,Desktop,Food & Grocery,83.87,2,167.74,0,0,167.74,0,16.1,183.84,Bank Transfer,Free Shipping,6,3,Yes,No,None,Very Dissatisfied,7.4,10,No,No,Yes,No,48,1728
ORD0000062,2022,4,Q2,No,Amazon,Bangladesh,VIP Customer,18-24,Male,Referral,Desktop,Mobile & Tablets,459.44,1,459.44,40,183.78,275.66,0,38.9,314.56,Buy Now Pay Later,Free Shipping,4,3,No,No,None,Dissatisfied,69.5,6,Yes,No,No,Yes,27,1188
ORD0000063,2022,10,Q4,Yes,WooCommerce,USA,Returning Customer,25-34,Male,Paid Ads,Desktop,Electronics,1663.94,2,3327.88,0,0,3327.88,18.45,320.59,3666.92,Debit Card,Express,3,1,No,No,None,Very Dissatisfied,15.8,2,Yes,No,Yes,No,2,80
ORD0000064,2022,1,Q1,Yes,Shopify Store,Pakistan,Returning Customer,18-24,Female,Paid Ads,Mobile,Toys & Games,200,1,200,0,0,200,4.93,30.85,235.78,PayPal,Click & Collect,1,5,No,No,None,Neutral,95.5,7,Yes,No,No,No,4,132
ORD0000065,2021,1,Q1,No,Flipkart,UAE,Returning Customer,18-24,Male,Referral,Mobile,Beauty & Personal Care,127.94,4,511.76,5,25.59,486.17,31.92,93.94,612.03,Cash on Delivery,Same Day,1,4,No,No,None,Satisfied,31.9,8,No,No,No,No,1,21
ORD0000066,2023,1,Q1,No,Jumia,UK,New Customer,18-24,Female,Direct,Mobile,Fashion & Apparel,221.25,1,221.25,0,0,221.25,6.33,20.12,247.7,Credit Card,Standard,4,5,Yes,No,None,Satisfied,7.6,7,Yes,No,No,Yes,0,0
ORD0000067,2024,2,Q1,Yes,WooCommerce,Bangladesh,VIP Customer,35-44,Female,Referral,Mobile,Electronics,1157.52,1,1157.52,0,0,1157.52,0,201.12,1358.64,PayPal,Free Shipping,3,4,No,No,None,Satisfied,15.8,3,Yes,Yes,Yes,No,16,272
ORD0000068,2021,3,Q1,No,Amazon,Pakistan,VIP Customer,25-34,Female,Email Campaign,Desktop,Home & Kitchen,149.72,3,449.16,25,112.29,336.87,0.28,60.34,397.49,Credit Card,Click & Collect,1,4,Yes,No,None,Very Satisfied,58.9,6,No,No,No,No,17,646
ORD0000069,2024,2,Q1,Yes,WooCommerce,Nigeria,New Customer,35-44,Female,Influencer,Mobile,Fashion & Apparel,196.66,4,786.64,10,78.66,707.98,22.95,132.77,863.7,Debit Card,Express,2,5,No,No,None,Very Satisfied,22.8,6,No,No,Yes,No,0,0
ORD0000070,2022,7,Q3,No,Flipkart,Pakistan,New Customer,18-24,Female,Direct,Mobile,Home & Kitchen,151.93,3,455.79,10,45.58,410.21,14.1,58.28,482.59,Cash on Delivery,Express,2,1,Yes,No,None,Neutral,22.9,6,Yes,No,Yes,No,0,0
ORD0000071,2024,2,Q1,No,Amazon,Germany,Loyal Customer,45-54,Male,Paid Ads,Desktop,Mobile & Tablets,1017.91,1,1017.91,10,101.79,916.12,0,65.03,981.15,Cryptocurrency,Free Shipping,7,4,No,No,None,Satisfied,44.8,6,Yes,No,No,No,5,245
ORD0000072,2024,2,Q1,No,Flipkart,UAE,Returning Customer,55-64,Female,Social Media,Mobile,Mobile & Tablets,1170.6,1,1170.6,40,468.24,702.36,0,79.33,781.69,Bank Transfer,Free Shipping,4,5,Yes,No,None,Satisfied,15,3,No,No,No,No,1,48
ORD0000073,2024,3,Q1,No,Noon,USA,New Customer,45-54,Male,Referral,Mobile,Fashion & Apparel,133.88,1,133.88,15,20.08,113.8,7.76,13.02,134.58,Debit Card,Standard,8,4,Yes,No,None,Satisfied,58.7,11,No,Yes,Yes,No,0,0
ORD0000074,2024,4,Q2,No,Flipkart,Nigeria,New Customer,18-24,Female,App Notification,Mobile,Automotive,424.07,2,848.14,20,169.63,678.51,4.79,121.39,804.69,PayPal,Standard,9,4,No,No,None,Very Dissatisfied,25.4,4,No,Yes,Yes,No,0,0
ORD0000075,2023,2,Q1,No,Amazon,Saudi Arabia,Inactive Customer,25-34,Male,Email Campaign,Mobile,Toys & Games,162.44,2,324.88,0,0,324.88,3.17,34.91,362.96,Cash on Delivery,Standard,4,5,No,No,None,Satisfied,139.1,6,Yes,No,Yes,No,2,72
ORD0000076,2023,3,Q1,No,Amazon,India,Returning Customer,55-64,Female,Organic Search,Mobile,Mobile & Tablets,883.58,1,883.58,15,132.54,751.04,7.17,99.5,857.71,Debit Card,Standard,4,3,No,No,None,Satisfied,16.7,4,No,No,Yes,No,3,84
ORD0000077,2022,10,Q4,No,Shopify Store,UAE,Inactive Customer,45-54,Female,Social Media,Mobile,Toys & Games,107.6,1,107.6,10,10.76,96.84,0,9.93,106.77,PayPal,Free Shipping,7,4,No,No,None,Very Satisfied,84,9,Yes,Yes,Yes,Yes,0,0
ORD0000078,2024,9,Q3,Yes,Amazon,Canada,Returning Customer,25-34,Male,Referral,Mobile,Fashion & Apparel,162.4,2,324.8,0,0,324.8,0.03,27.38,352.21,Credit Card,Click & Collect,1,3,No,No,None,Satisfied,35.8,7,No,Yes,No,Yes,1,45
ORD0000079,2023,9,Q3,Yes,Shopify Store,Pakistan,Returning Customer,18-24,Female,Email Campaign,Desktop,Electronics,1571.99,2,3143.98,15,471.6,2672.38,0,455.84,3128.22,Cash on Delivery,Free Shipping,4,3,Yes,Yes,Not as Described,Very Satisfied,20.1,6,Yes,No,No,No,3,48
ORD0000080,2023,9,Q3,No,Amazon,Pakistan,Returning Customer,55-64,Female,Organic Search,Desktop,Mobile & Tablets,1113.55,1,1113.55,5,55.68,1057.87,8.26,173.12,1239.25,Bank Transfer,Express,2,5,Yes,No,None,Neutral,9.2,7,No,No,Yes,No,1,48
ORD0000081,2024,6,Q2,Yes,Daraz,Canada,VIP Customer,35-44,Female,Social Media,Mobile,Electronics,1082.9,1,1082.9,15,162.44,920.46,2.84,180.73,1104.03,Credit Card,Click & Collect,2,2,Yes,No,None,Satisfied,42,4,No,No,No,No,31,961
ORD0000082,2021,8,Q3,No,Jumia,Saudi Arabia,Returning Customer,18-24,Female,Organic Search,Desktop,Books & Education,54.09,1,54.09,15,8.11,45.98,0,6.52,52.5,Mobile Wallet,Free Shipping,4,4,No,No,None,Neutral,6.9,7,Yes,Yes,No,No,4,72
ORD0000083,2023,6,Q2,No,WooCommerce,UAE,Inactive Customer,25-34,Female,Email Campaign,Mobile,Fashion & Apparel,269.19,2,538.38,30,161.51,376.87,34.72,31.93,443.52,Credit Card,Same Day,1,4,Yes,No,None,Satisfied,168.2,4,Yes,No,No,No,1,38
ORD0000084,2024,9,Q3,No,Noon,UK,Loyal Customer,25-34,Male,Social Media,Desktop,Electronics,1917.89,3,5753.67,10,575.37,5178.3,4.27,711.18,5893.75,Bank Transfer,Click & Collect,1,4,No,No,None,Satisfied,16.5,6,No,Yes,Yes,No,12,444
ORD0000085,2023,2,Q1,No,eBay,UAE,Loyal Customer,25-34,Female,Direct,Mobile,Electronics,584.34,1,584.34,0,0,584.34,0,31.45,615.79,PayPal,Free Shipping,6,4,No,No,None,Neutral,37.5,3,Yes,Yes,Yes,No,13,533
ORD0000086,2022,4,Q2,Yes,Amazon,USA,New Customer,45-54,Male,Social Media,Mobile,Fashion & Apparel,171.22,1,171.22,30,51.37,119.85,0,23.46,143.31,Cash on Delivery,Free Shipping,4,4,No,No,None,Neutral,71.3,6,Yes,No,No,No,0,0
ORD0000087,2023,11,Q4,Yes,Flipkart,Nigeria,Inactive Customer,18-24,Male,Organic Search,Desktop,Books & Education,36.91,1,36.91,0,0,36.91,25.73,2.25,64.89,PayPal,Same Day,1,4,No,No,None,Neutral,32.6,4,No,No,No,Yes,0,0
ORD0000088,2023,7,Q3,Yes,Shopify Store,Indonesia,Loyal Customer,35-44,Male,Referral,Mobile,Food & Grocery,65.08,1,65.08,0,0,65.08,0,4.92,70,Buy Now Pay Later,Free Shipping,7,4,Yes,No,None,Neutral,109.1,2,No,Yes,No,Yes,12,492
ORD0000089,2024,9,Q3,No,AliExpress,UAE,Loyal Customer,45-54,Female,Paid Ads,Desktop,Toys & Games,37.6,1,37.6,15,5.64,31.96,0,6.29,38.25,Mobile Wallet,Free Shipping,7,4,No,No,None,Satisfied,24.9,4,No,No,No,No,6,234
ORD0000090,2023,2,Q1,Yes,WooCommerce,Pakistan,Loyal Customer,18-24,Male,Influencer,Desktop,Beauty & Personal Care,102.32,2,204.64,15,30.7,173.94,0,17.17,191.11,Cash on Delivery,Free Shipping,6,4,Yes,No,None,Neutral,88.6,6,Yes,No,Yes,Yes,5,105
ORD0000091,2024,4,Q2,No,Noon,UK,Loyal Customer,25-34,Female,Referral,Desktop,Toys & Games,60.91,1,60.91,25,15.23,45.68,0,7.28,52.96,Credit Card,Free Shipping,3,4,Yes,No,None,Satisfied,28.5,6,No,Yes,No,No,8,240
ORD0000092,2021,2,Q1,No,Daraz,Turkey,Returning Customer,18-24,Female,Direct,Desktop,Food & Grocery,100,1,100,10,10,90,0,8.73,98.73,Mobile Wallet,Free Shipping,3,2,No,No,None,Neutral,13,7,No,Yes,Yes,No,1,39
ORD0000093,2022,6,Q2,No,AliExpress,USA,Returning Customer,45-54,Male,Social Media,Mobile,Electronics,791.46,4,3165.84,0,0,3165.84,13.78,354.42,3534.04,Debit Card,Express,2,5,No,No,None,Satisfied,13.7,10,Yes,Yes,No,Yes,1,45
ORD0000094,2023,11,Q4,No,eBay,Pakistan,Returning Customer,25-34,Male,Referral,Desktop,Jewelry & Accessories,854.03,1,854.03,30,256.21,597.82,2.54,66.38,666.74,Credit Card,Click & Collect,1,3,Yes,No,None,Satisfied,36,3,No,Yes,No,Yes,4,40
